Sides of a coin,Heads,Tails
Yin and yang,Yin,Yang
Ways to open a door,Push,Pull
Parity,Odd,Even
Cutlery,Knife,Fork,Spoon
Common states of matter,Solid,Liquid,Gas
Base colours (RGB),Red,Green,Blue
States of time,Past,Present,Future
Cardinal directions,Norh,South,East,west
Seasons,Winter,Spring,Summer,Fall
The Beatles,John Lennon,Paul McCartney,Ringo Starr,George Harrison
Card suits,Hearts,Diamonds,Clubs,Spades
Platonic solids,Tetrahedron,Cube,Octahedron,Dodecahedron,Icosahedron
The five elements (Wu Xing),Earth,Water,Air,Fire,Aether
The five senses,Sight,Hearing,Taste,Smell,Touch
Nordic countries,Sweden,Finland,Denmark,Norway,Iceland
